Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,5,SMOOTH ELASTIC(A),0,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|0|Harden[0.5] TM4|0
MAQ118,6,28,ROK ELASTIC,0,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|0|Harden[2] TM1|0
MAQ118,29,40,GORGORÃO RIBBON,2,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|2|Ironing TM4|0
MAQ118,41,52,WOVEN LABEL OURELA FABRIC,8,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA FABRIC|8|Ironing TM4|0
MAQ118,56,78,ROK ELASTIC,1,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|1|Harden[2] TM1|0
MAQ118,81,89,STRAP W/ STRIPES,3,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|3|Harden[1] TM5|0
MAQ118,90,101,SMOOTH STRAP(A),3,Ironing TM4,0,11,MAQ118|SMOOTH STRAP(A)|3|Ironing TM4|0
MAQ118,102,110,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|1
MAQ118,111,122,ELASTIC W/ INSCR,0,Ironing TM4,0,11,MAQ118|ELASTIC W/ INSCR|0|Ironing TM4|0
MAQ118,123,127,SMOOTH ELASTIC(A),3,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|3|Harden[0.5] TM4|0
MAQ118,128,139,GORGORÃO RIBBON W/ INSCR,1,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|1|Ironing TM4|0
MAQ118,140,151,WOVEN LABEL OURELA CUT,2,Ironing TM4,2,11,MAQ118|WOVEN LABEL OURELA CUT|2|Ironing TM4|2
MAQ118,152,163,ESTORE RIBBON,1,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|1|Ironing TM4|2
MAQ118,165,176,GORGORÃO RIBBON W/ INSCR,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|3|Ironing TM4|0
MAQ118,177,188,GORGORÃO RIBBON W/ INSCR,4,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|4|Ironing TM4|0
MAQ118,193,197,SMOOTH ELASTIC(A),1,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|1|Harden[0.5] TM4|0
MAQ118,199,207,STRAP W/ STRIPES,4,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|4|Harden[1] TM5|0
MAQ118,209,217,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|1
MAQ118,218,222,ELASTIC W/ INSCR,0,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|0|Harden[0.5] TM4|3
MAQ118,226,234,TAFFETA EMBLEM,1,Harden[1] TM5,0,8,MAQ118|TAFFETA EMBLEM|1|Harden[1] TM5|0
MAQ118,235,243,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|2
MAQ118,244,255,GORGORÃO RIBBON,7,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|7|Ironing TM4|0
MAQ118,256,278,ROK ELASTIC,2,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|2|Harden[2] TM1|0
MAQ118,279,293,ROK ELASTIC,2,Harden[1.5] TM3,1,14,MAQ118|ROK ELASTIC|2|Harden[1.5] TM3|1
MAQ118,294,302,STRAP W/ STRIPES,4,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|4|Harden[1] TM5|1
MAQ118,303,311,TAFFETA EMBLEM,6,Harden[1] TM5,0,8,MAQ118|TAFFETA EMBLEM|6|Harden[1] TM5|0
MAQ118,313,324,WOVEN LABEL OURELA FABRIC,7,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA FABRIC|7|Ironing TM4|0
MAQ118,325,329,ELASTIC W/ INSCR,1,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|1|Harden[0.5] TM4|3
MAQ118,330,334,WOVEN LABEL OURELA CUT,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|2|Harden[0.5] TM4|3
MAQ118,337,348,WOVEN LABEL OURELA CUT,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|0
MAQ118,350,361,WOVEN LABEL OURELA CUT,0,Ironing TM4,1,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|1
MAQ118,365,369,WOVEN LABEL OURELA CUT,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[0.5] TM4|3
MAQ118,370,378,STRAP W/ STRIPES,7,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|7|Harden[1] TM5|0
MAQ118,379,383,WOVEN LABEL OURELA FABRIC,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[0.5] TM4|3
MAQ118,385,396,ESTORE RIBBON,2,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|2|Ironing TM4|1
MAQ118,397,408,ESTORE RIBBON,2,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|2|Ironing TM4|2
MAQ118,410,418,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|2
MAQ118,419,427,STRAP W/ STRIPES,2,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|2|Harden[1] TM5|0
MAQ118,430,438,WOVEN LABEL OURELA CUT,0,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[1] TM5|4
MAQ118,439,447,TAFFETA EMBLEM,8,Harden[1] TM5,0,8,MAQ118|TAFFETA EMBLEM|8|Harden[1] TM5|0
MAQ118,448,456,STRAP W/ STRIPES,2,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|2|Harden[1] TM5|1
MAQ118,459,467,WOVEN LABEL OURELA CUT,1,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[1] TM5|5
MAQ118,468,479,ESTORE RIBBON,4,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|4|Ironing TM4|2
MAQ118,480,491,ESTORE RIBBON,5,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|5|Ironing TM4|1
MAQ118,492,500,WOVEN LABEL OURELA FABRIC,8,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[1] TM5|2
MAQ118,501,515,WOVEN LABEL OURELA CUT,1,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[1.5] TM3|6
MAQ118,516,524,WOVEN LABEL OURELA FABRIC,4,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|4|Harden[1] TM5|1
MAQ118,525,536,ESTORE RIBBON,5,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|5|Ironing TM4|2
MAQ118,537,545,WOVEN LABEL OURELA CUT,0,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[1] TM5|5
MAQ118,546,554,STRAP W/ STRIPES,6,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|6|Harden[1] TM5|1
MAQ118,555,563,STRAP W/ STRIPES,1,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|1|Harden[1] TM5|1
MAQ118,565,573,WOVEN LABEL OURELA FABRIC,9,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|9|Harden[1] TM5|2
MAQ118,577,585,WOVEN LABEL OURELA FABRIC,4,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|4|Harden[1] TM5|2
MAQ118,586,594,STRAP W/ STRIPES,5,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|5|Harden[1] TM5|0
