Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,12,ELASTIC W/ INSCR,0,Ironing TM4,0,11,MAQ118|ELASTIC W/ INSCR|0|Ironing TM4|0
MAQ118,13,21,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|1
MAQ118,22,30,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|2
MAQ118,31,35,WOVEN LABEL OURELA FABRIC,0,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[0.5] TM4|3
MAQ118,36,40,ELASTIC W/ INSCR,0,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|0|Harden[0.5] TM4|3
MAQ119,1,16,STRAP W/ STRIPES,0,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|0|Harden[1] TM1|0
MAQ119,17,32,STRAP W/ STRIPES,0,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|0|Harden[1] TM1|1
MAQ120,1,9,WOVEN LABEL OURELA FABRIC,0,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|0|Ironing TM1|0
MAQ120,10,16,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|1
MAQ120,20,26,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,2,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|2
MAQ120,34,40,STRAP W/ STRIPES,0,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|0|Anti-Shrinkage TM2|2
