Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,9,STRAP W/ STRIPES,0,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|0|Harden[1] TM5|0
MAQ118,10,18,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|1
MAQ118,19,27,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|2
MAQ118,28,32,WOVEN LABEL OURELA FABRIC,0,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[0.5] TM4|3
MAQ118,33,37,ELASTIC W/ INSCR,0,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|0|Harden[0.5] TM4|3
MAQ119,1,9,WOVEN LABEL OURELA FABRIC,0,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA FABRIC|0|Ironing TM3|0
MAQ119,14,29,STRAP W/ STRIPES,0,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|0|Harden[1] TM1|1
MAQ120,1,9,ELASTIC W/ INSCR,0,Ironing TM1,0,8,MAQ120|ELASTIC W/ INSCR|0|Ironing TM1|0
MAQ120,10,16,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|1
MAQ120,23,29,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,2,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|2
MAQ120,30,36,STRAP W/ STRIPES,0,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|0|Anti-Shrinkage TM2|2
