Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,23,ROK ELASTIC,1,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|1|Harden[2] TM1|0
MAQ120,1,9,GORGORÃO RIBBON,5,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|5|Ironing TM1|0
MAQ119,2,17,TAFFETA EMBLEM,2,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|2|Harden[1] TM1|0
MAQ120,11,19,ELASTIC W/ INSCR,1,Ironing TM1,0,8,MAQ120|ELASTIC W/ INSCR|1|Ironing TM1|0
MAQ119,18,26,SMOOTH STRAP(A),1,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|1|Ironing TM3|0
MAQ120,21,29,GORGORÃO RIBBON W/ INSCR,2,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON W/ INSCR|2|Ironing TM1|0
MAQ118,25,36,GORGORÃO RIBBON W/ INSCR,1,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|1|Ironing TM4|0
MAQ119,27,35,SMOOTH STRAP(A),0,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|0|Ironing TM3|0
MAQ120,31,37,ELASTIC W/ INSCR,1,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|1|Anti-Shrinkage TM2|1
MAQ119,36,51,TAFFETA EMBLEM,0,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|0|Harden[1] TM1|0
MAQ118,37,48,GORGORÃO RIBBON,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|3|Ironing TM4|0
MAQ120,38,46,ESTORE RIBBON,5,Ironing TM1,0,8,MAQ120|ESTORE RIBBON|5|Ironing TM1|0
MAQ120,48,56,GORGORÃO RIBBON,1,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|1|Ironing TM1|0
MAQ118,49,60,WOVEN LABEL OURELA FABRIC,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA FABRIC|0|Ironing TM4|0
MAQ119,52,60,WOVEN LABEL OURELA CUT,1,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|0
MAQ120,57,65,GORGORÃO RIBBON W/ INSCR,0,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON W/ INSCR|0|Ironing TM1|0
MAQ118,61,72,GORGORÃO RIBBON,11,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|11|Ironing TM4|0
MAQ119,62,70,WOVEN LABEL OURELA CUT,1,Ironing TM3,1,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|1
MAQ120,66,72,BRAIDED ELASTIC,6,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|6|Anti-Shrinkage TM2|0
MAQ119,71,79,WOVEN LABEL OURELA CUT,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|2|Ironing TM3|0
MAQ120,73,81,WOVEN LABEL OURELA FABRIC,5,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|5|Ironing TM1|0
MAQ118,77,81,SMOOTH ELASTIC(A),1,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|1|Harden[0.5] TM4|0
