Simulacion,cantidad_individuos,p_mutacion,cantidad_maxima_generaciones,tiempo_maximo,p_optimizacion_deterministica,probabilidad_saltar_periodo,peso_seleccion_paso,peso_seleccion_demanda,peso_mover_periodo,peso_cambiar_task,intentos_mutacion,probabilidad_reducir,probabilidad_completo,Generacion 0,Generacion 1,Generacion 2,Generacion 3,Generacion 4,Generacion 5,Generacion 6,Generacion 7,Generacion 8,Generacion 9,Generacion 10,Valor_Incumbente,Hubo_Mejora,Porc_Mejora_Aptitud
1,10,0.01,10,3600,0.0,0.05,1,1,1,1,1,0.33,0.33,961.0656039136,976.2727540251999,967.1366064498,974.3089863008001,974.5540939447999,972.6716740784001,975.272428388,976.9203969345999,973.484984965,977.8155697998,974.3090877922001,944.25856564,False,0.013779999850864241
2,10,0.01,10,3600,1.0,0.05,1,1,1,1,1,0.33,0.33,965.888061409,957.9468304899999,967.5700617048,982.6875514996,980.1503729212,989.134762011,990.5654036434,978.9073100121999,968.288339284,972.5723338776,970.6858512936,964.306836388,False,0.004967231790401415
3,10,0.01,10,3600,0.0,0.05,1,1,1,1,2,0.33,0.33,957.7166273554,962.3452101874,967.627931066,983.1853512158001,992.1320071493999,990.8607480590001,992.1134258497999,981.9568877968001,976.8027099834001,969.1444270046001,960.6361603276,942.682329876,False,0.0030484309124525965
4,10,0.01,10,3600,1.0,0.05,1,1,1,1,2,0.33,0.33,970.3373429984,975.182577983,982.0261435238001,988.9034266662,991.0745428774001,994.1886145366,992.9471135882001,997.7208987014001,994.2685854956001,995.3196286345999,995.1550136432,953.490397818,False,0.025576332626869713
5,10,0.01,10,3600,0.0,0.05,1,1,1,1,10,0.33,0.33,970.3373429984,966.4479542167999,972.6944288975999,980.7635078268,989.8854909208,995.5212707796,993.3216301893999,998.0556053280001,994.4936363412,996.0422293538,995.0308346751999,973.27025353,False,0.0254483575789174
6,10,0.01,10,3600,1.0,0.05,1,1,1,1,10,0.33,0.33,961.0656039136,974.6481239292,983.0079517452001,984.801564625,982.3616945424001,978.6957431032,985.3438932412,995.7254436554,986.7014122472001,980.9332054036,972.2784823203999,940.187652212,False,0.011667131110654143
7,10,0.01,10,3600,0.0,0.05,1,1,1,1,1,0.33,0.66,961.0656039136,976.2727540251999,967.1366064498,974.3089863008001,974.5540939447999,972.6716740784001,975.272428388,976.9203969345999,973.484984965,977.8155697998,974.3090877922001,944.25856564,False,0.013779999850864241
8,10,0.01,10,3600,1.0,0.05,1,1,1,1,1,0.33,0.66,957.7166273554,961.4073927453999,962.8974331740001,974.2018130196,977.2163841027999,975.2653718746,973.7444446112,972.8264968261999,975.0059808382,966.1623844226,968.8836959,957.619459102,False,0.011660096761018287
9,10,0.01,10,3600,0.0,0.05,1,1,1,1,2,0.33,0.66,965.888061409,963.4938757378001,973.549427658,981.0537821628001,975.5843699354,971.8622266586001,984.37321252,999.6093866046,1009.7588820806001,1001.6160834551999,1000.9206632081999,956.551686848,False,0.03626983622522028
10,10,0.01,10,3600,1.0,0.05,1,1,1,1,2,0.33,0.66,965.888061409,963.3220928267999,972.9051477144,982.0284583892001,977.7597658928,979.6356446072001,988.4477088246,999.1579723392,996.3864578444,989.186304446,987.1926949214,963.903000816,False,0.022057041973706133
11,10,0.01,10,3600,0.0,0.05,1,1,1,1,10,0.33,0.66,957.7166273554,955.6851251390001,969.4346705388,975.4472145133999,988.3257678348,1000.1512495978001,1007.8366647718,1001.760730321,998.3255292962,993.2272631046001,991.6220006694,958.284362658,False,0.03540230204379448
12,10,0.01,10,3600,1.0,0.05,1,1,1,1,10,0.33,0.66,980.0482749253999,980.9931431534,982.8165458438,982.1337630692,982.1108854402,991.7276201504001,987.8601832075999,1002.0815150434,1001.2054004921999,996.7191993744,998.3159304678,986.232311542,False,0.018639546652730467
13,10,0.01,10,3600,0.0,0.05,1,1,1,1,1,0.66,0.33,961.0656039136,976.2727540251999,967.1366064498,974.3089863008001,974.5540939447999,972.6716740784001,975.272428388,976.9203969345999,973.484984965,977.8155697998,974.3090877922001,944.25856564,False,0.013779999850864241
14,10,0.01,10,3600,1.0,0.05,1,1,1,1,1,0.66,0.33,961.0656039136,976.3302796024,969.8627059,979.9452637640001,982.111438067,978.8191687689999,986.8954439256,990.0540752338,999.8981780903999,998.002086101,999.73861186,955.112176438,False,0.040239717027555556
15,10,0.01,10,3600,0.0,0.05,1,1,1,1,2,0.66,0.33,970.3373429984,975.2201414021999,977.4526471154,978.1037771782,989.305664754,992.13769402,991.8938648478,993.1536588495999,993.6400589066,986.2109594574,992.3009673006,971.581130296,False,0.022635039721681783
16,10,0.01,10,3600,1.0,0.05,1,1,1,1,2,0.66,0.33,965.888061409,963.3220928267999,972.9051477144,982.0284583892001,977.7597658928,979.6356446072001,988.4477088246,999.1579723392,996.3864578444,989.186304446,987.1926949214,963.903000816,False,0.022057041973706133
17,10,0.01,10,3600,0.0,0.05,1,1,1,1,10,0.66,0.33,961.0656039136,974.9802019498,984.0435947395999,982.3504605579999,996.8702623254001,989.6586334895999,988.0847013532,984.0580868532,975.3667737452,983.725095727,974.5625687794,957.347789018,False,0.0140437497823649
18,10,0.01,10,3600,1.0,0.05,1,1,1,1,10,0.66,0.33,957.7166273554,955.6594600978,968.0939322292,978.9372576992,976.0696392555999,978.4505787976001,989.1471797931999,984.6797273614,989.9716599288,987.2784232182,991.3946866098,972.241979636,False,0.035164952024898326
19,10,0.01,10,3600,0.0,0.05,1,1,1,1,1,0.66,0.66,961.0656039136,976.2727540251999,967.1366064498,974.3089863008001,974.5540939447999,972.6716740784001,975.272428388,976.9203969345999,973.484984965,977.8155697998,974.3090877922001,944.25856564,False,0.013779999850864241
20,10,0.01,10,3600,1.0,0.05,1,1,1,1,1,0.66,0.66,957.7166273554,961.4073927453999,962.8974331740001,974.2018130196,977.2163841027999,975.2653718746,973.7444446112,972.8264968261999,975.0059808382,966.1623844226,968.8836959,957.619459102,False,0.011660096761018287
21,10,0.01,10,3600,0.0,0.05,1,1,1,1,2,0.66,0.66,961.0656039136,964.1365354254,970.3082352601999,968.7253102072,973.8210649876,984.6924126567999,982.5629751528,983.323541685,986.9620637722,990.0236226434001,997.0079761252,982.954351472,False,0.037398458612229436
22,10,0.01,10,3600,1.0,0.05,1,1,1,1,2,0.66,0.66,965.888061409,963.3220928267999,972.9051477144,982.0284583892001,977.7597658928,979.6356446072001,988.4477088246,999.1579723392,996.3864578444,989.186304446,987.1926949214,963.903000816,False,0.022057041973706133
23,10,0.01,10,3600,0.0,0.05,1,1,1,1,10,0.66,0.66,957.7166273554,955.6851251390001,969.4346705388,975.4472145133999,988.3257678348,1000.1512495978001,1007.8366647718,1001.760730321,998.3255292962,993.2272631046001,991.6220006694,958.284362658,False,0.03540230204379448
24,10,0.01,10,3600,1.0,0.05,1,1,1,1,10,0.66,0.66,961.0656039136,974.6481239292,983.0079517452001,984.801564625,982.3616945424001,978.6957431032,985.3438932412,995.7254436554,986.7014122472001,980.9332054036,972.2784823203999,940.187652212,False,0.011667131110654143
25,10,0.01,10,3600,0.0,0.05,1,2,1,1,1,0.33,0.33,968.1175638651999,967.1298487402,966.9938859968,984.2478608253999,977.2998807390001,991.8399045166,1011.173570446,1007.9102366552,1011.0184271934,1001.4347114422001,994.887122378,954.906904698,False,0.027651144356810153
26,10,0.01,10,3600,1.0,0.05,1,2,1,1,1,0.33,0.33,963.3543285747999,962.4635367182,966.7160481110001,967.788176181,966.6197833024,971.5864292082,973.2340199493999,975.4187526175999,972.1967414796,964.009740099,961.4051435105999,951.659184468,True,-0.0020233314019396952
27,10,0.01,10,3600,0.0,0.05,1,2,1,1,2,0.33,0.33,967.492630554,965.1307999196,969.2478613597999,973.7197557932001,983.0803267668,970.1012373034,981.2223916904001,992.7331067374,1004.5906710412,1010.5052990702001,1010.4856601596,990.343919168,False,0.04443757838339458
28,10,0.01,10,3600,1.0,0.05,1,2,1,1,2,0.33,0.33,966.3101829323999,971.9334123901999,976.2669063388,981.915176703,993.9117902812001,1000.9597508987999,1006.2052139760001,1005.7521061198,1006.9134108018,1017.8275555138,1012.7538541043999,987.80363141,False,0.048062901532363395
29,10,0.01,10,3600,0.0,0.05,1,2,1,1,10,0.33,0.33,967.492630554,970.8774123134001,969.0618613557999,968.3151801962,974.1437767887999,983.054082978,983.9115080285999,980.1588924596001,971.9655417864,973.0216554298,972.2817103773999,951.449301908,False,0.00494999100991354
30,10,0.01,10,3600,1.0,0.05,1,2,1,1,10,0.33,0.33,963.3543285747999,958.818463097,972.193375346,982.9856987777999,982.4878093384001,980.7126005522001,988.2115102527999,998.0365187442,991.4531773962001,988.7571597122,988.425666313,965.781589918,False,0.026025042909487928
31,10,0.01,10,3600,0.0,0.05,1,2,1,1,1,0.33,0.66,967.492630554,970.6943772314,978.7825436384,987.7285166457999,975.5833754316,988.6810468502001,991.6583115679999,991.9021663906,992.7588925489999,987.0922167314,991.8735878391999,977.425791424,False,0.025200147799822516
32,10,0.01,10,3600,1.0,0.05,1,2,1,1,1,0.33,0.66,967.492630554,970.7807212346,978.6586720014,981.1582763536001,987.2546513028001,986.5714654596001,983.7350948323999,977.7732545938001,976.1001144138002,974.6342943719999,979.6381118318001,966.053519818,False,0.012553564641464383
33,10,0.01,10,3600,0.0,0.05,1,2,1,1,2,0.33,0.66,971.9942776136,968.723097266,968.6663803904,967.908111385,976.7783105808,979.4062588503999,978.2383249971999,967.475611633,971.9072942939999,979.9030990276,971.2197304624,942.783230686,True,-0.0007968639003736767
34,10,0.01,10,3600,1.0,0.05,1,2,1,1,2,0.33,0.66,971.9942776136,968.4918429212,969.5542994902,975.6214247954,976.2869346132,982.7100672557999,971.4515843470001,978.0506630543999,977.1310482554,975.6829684279999,973.7845868627999,959.648362306,False,0.001841892787265492
35,10,0.01,10,3600,0.0,0.05,1,2,1,1,10,0.33,0.66,968.1175638651999,968.5012477328,966.7462231878001,981.7392215673999,985.3767655872,974.8789289406001,974.0172742968,983.995197403,994.1385493641999,992.2213430677999,990.0642894014,956.5348504359999,False,0.022669483909142106
36,10,0.01,10,3600,1.0,0.05,1,2,1,1,10,0.33,0.66,971.9942776136,970.4193391688001,966.202806604,971.6451630396001,971.7499826682,974.9613856398,975.135661866,984.0481826458001,987.2626082532,975.3385715214001,971.6632942297999,939.402903614,True,-0.00034051988928652285
37,10,0.01,10,3600,0.0,0.05,1,2,1,1,1,0.66,0.33,968.1175638651999,967.1298487402,966.9938859968,984.2478608253999,977.2998807390001,991.8399045166,1011.173570446,1007.9102366552,1011.0184271934,1001.4347114422001,994.887122378,954.906904698,False,0.027651144356810153
38,10,0.01,10,3600,1.0,0.05,1,2,1,1,1,0.66,0.33,967.492630554,970.7807212346,978.6586720014,981.1582763536001,987.2546513028001,986.5714654596001,983.7350948323999,977.7732545938001,976.1001144138002,974.6342943719999,979.6381118318001,966.053519818,False,0.012553564641464383
39,10,0.01,10,3600,0.0,0.05,1,2,1,1,2,0.66,0.33,967.492630554,965.1307999196,969.2478613597999,973.7197557932001,983.0803267668,970.1012373034,981.2223916904001,992.7331067374,1004.5906710412,1010.5052990702001,1010.4856601596,990.343919168,False,0.04443757838339458
